# YouTube URLs for Hinglish Comment Extraction
# Add your YouTube video, playlist, or channel URLs below (one per line)
# Lines starting with # are ignored

# Example Indian YouTube channels with Hinglish comments:
# https://www.youtube.com/@CarryMinati
# https://www.youtube.com/@BBKiVines
# https://www.youtube.com/@ashishchanchlanivines

# Add your URLs here:
Name of the channel	Link to the channel	Channel ID
Ayush Bhandari	https://youtube.com/@ayushbhandari?si=pEfysRVKnffNIUat	UCTig_sB8GjLOcTYBcw6700w
Slayy Point	https://youtube.com/@slayypointofficial?si=ESQz2cijBd3ZeK1_	UCtgGOdTlM-NdJ9rPKIYN8UQ
Apna College	https://youtube.com/@apnacollegeofficial?si=WC0Jj8l6CIxIR0YZ	UCBwmMxybNva6P_5VmxjzwqA
Ankit Inspires India	https://youtube.com/@ankitinspiresindia?si=SZXxyXb6fCqDUTrt	UC2Nwwobsd0ctkzVieXZvyQA
Baaten Bazar Ki (BBK)	https://youtube.com/@baatenbazarki?si=axMKfueWC6bsBwfk	UCkAlEDBOaqMfe7la9vwIxOA
StudyIQ IAS	https://youtube.com/@studyiqeducationltd?si=ng5NNJgif8djFM2K	UCrC8mOqJQpoB7NuIMKIS6rQ
Apni Pathshala	https://youtube.com/@apni.pathshala?si=fXqlCHLpViqhB1Eo	UCcBc0kafKTdcc5NAGEmA83g
Study Glows	https://youtube.com/@studyglows?si=oWAByBgAx-igBE28	UCmB6U6fVkEaUpOI-_5uRjZA
OnlyIAS हिन्दी माध्यम	https://youtube.com/@pwonlyiashindimedium?si=KyjwIT42WfVIH-a7	UCmrP-DYdZuThp8AO9lnnwNw
The Study IAS By Manikant Singh	https://youtube.com/@thestudyias?si=bm8kAtWl1L195-Hh	UC1gBk2nNZ9_VgJ5CrdQjnyQ
IAS Hindi	https://youtube.com/@iashindi?si=CyJQKq3LZ2rbZxeT	UClhCePCtrH2HvO1DpVCbKSA
Study IAS with Dharmendra jakhar	https://youtube.com/@studyiaswithdj?si=BesmD_sHHo0_I9_K	UCZ52RYSuqjkLqOrlScVDMhA
Vision IAS Hindi	https://youtube.com/@visioniashindi?si=ZndNBMp8mjMrW7eD	UCRr_ix2-7Z6EjfVopOAc4aA
Study for RAS & IAS	https://youtube.com/@studyforrasandias?si=DR45LhH_bPwsUqxG	UCKqa8Hc1yGNYp99AukNJSWA
KGS IAS Hindi	https://youtube.com/@kgs-iashindi?si=IL7FRRU4Uj2n_0N3	UC8yuaNBUMgttmcteh6W84OA
SHUBHRA RANJAN IAS STUDY HINDI	https://youtube.com/@shubhraranjaniasstudyhindi?si=opfX0qh-9xIZpWfl	UCf8YCciKJfTKMb2dwAi1PtQ
StudY LoveR- VeeR	https://youtube.com/@studyloverveer?si=P_C9yhpKJxLOuqOM	UCPzDoraqPsAkLPAGpiX2V9A
Study UPSC IAS with Ritu Ma'am	https://youtube.com/@ritumaam?si=5CQDU8M56m_Lv6S5	UC9nXu8lXgNPno2imDNqctZw
Drishti PCS	https://youtube.com/@drishtipcsvideos?si=-xRgfj1eDQtEk5Rw	UCsEHYlZjY9LYIIvEsynL_yQ
BPSC StudyIQ	https://youtube.com/@bpscstudyiq?si=K4bywaf7K7ec-dWS	UC-7fHTMoiyy9quFHzKyaNFg
Manisha Rani	https://youtube.com/@manisharanicomedy?si=wQqsXz5KOvO32SaA	UCYHU3nB-21PeM1FmmLbergA
Perfection IAS	https://youtube.com/@perfectionias?si=pW_NJDZfwbFxrtyL	UCBd61UH6lNpHVMN7BADwBNw
LakshayThakurrr	https://youtube.com/@lakshaythakurrr?si=8Hvmn7F-6Lv3OzxH	UC0bAD3JOLslf7PviSjwGIjw
SO TRENDZY	https://youtube.com/@sotrendzy?si=Y-o4gn0Px0uZZO3y	UC3dy0r-HxPrWTRHVvicdMmg
Techno Ruhez	https://youtube.com/@technoruhez?si=MiW28WQQ5qtkiYwv	UC8vlDm5xvbxOrCvdu9UNOiA
Tech Burner	https://youtube.com/@techburner?si=jNdG4g6mh2v4gpun	UCXUJJNoP1QupwsYIWFXmsZg
Technology Gyan	https://youtube.com/@technologygyan?si=UERT4-7CoYP5rQH4	UC1tVU8H153ZFO9eRsxdJlhA
CookingShooking Hindi	https://youtube.com/@cookingshookinghindi?si=NiNVypCQXv3c7zYw	UCTbNOCtAGaqOEnLMeo3JTeg
We Make Creators	https://youtube.com/@wemakecreators?si=qmK4EFPKrfq9mdBT	UCr6hHjMNvgQxErQ1ZJV4drw
Chef Ranveer Brar	https://youtube.com/@ranveerbrar?si=Ba8HhcL_LHJgSp8N	UCEHCDn_BBnk3uTK1M64ptyw
Farah Khan	https://youtube.com/@farahkhank?si=sci6-GX_7R5K-60-	UChCYMXLO_SfiNwOc2rlNKCA
Cooking Channel Hindi	https://youtube.com/@cookingchannelhindi?si=b2ent9k6nWx0RLst	UCwNFJHVv1dnqtyhBj6LoVFQ
CookwithParul	https://youtube.com/@cookwithparul?si=N2wScR_leY-TSzFy	UClfidxoNRvDO361TM5rw64Q
Anukriti Cooking Recipes Hindi - Specials	https://youtube.com/@anukriticookingrecipeshindi?si=cyiFSVkG5gLPVTz1	UCh6F4Vvdy4YT6-LbP53CgAg
Sanjeev Kapoor Khazana	https://youtube.com/@sanjeevkapoorkhazana?si=WJ-5GmpcJTzJL9RK	UCmoX4QULJ9MB00xW4coMiOw
Ruby Ka Kitchen	https://youtube.com/@rubykakitchen?si=Lg5QbI__FTmhLUHe	UCMhx-uS3O-G_6_lTrYmDKLw
Nick DiGiovanni	https://youtube.com/@nickdigiovanni?si=yIeBtwfnpz9do_42	UCMyOj6fhvKFMjxUCp3b_3gA
Hindi Cooking Channel	https://youtube.com/@hindicookingchannel8712?si=Swm6dYRJB2vsIq2J	UC5HEt-OoLa2Z8VR9KbCmykw
Kabita's Kitchen	https://youtube.com/@kabitaskitchen?si=r732b6qwWEdPPXtZ	UCChqsCRFePrP2X897iQkyAA
Kanak's Kitchen Hindi	https://youtube.com/@kanakskitchenhindi?si=HPHAn99ucblwn8Rf	UCOUHiRSRIuguyUVY5q_hl7A
Nawab’s Kitchen Food For All Orphans	https://youtube.com/@nawabskitchenfoodforallorphans?si=mPdZhweZ56uw6Nhy	UCGSLH_5EGpS2eEkjEOkZLIg
Vahchef - Hindi	https://youtube.com/@vahchefhindi?si=DHA0YhvNgdQ-vghO	UCwuYBaTSZkqsmpJz5DPF9HA
Kitchen with Amna	https://youtube.com/@kitchenwithamna?si=9Lk8nxna9TcOxcLl	UCQ2P7C8UGoVM6AhqsVx-M0Q
Multi DO Challenge Hindi	https://youtube.com/@multidochallengehindi7756?si=R0ee5K1q4YyBBq2i	UCzN2cEdV5dqr9IzEz1S7MCQ
Hindi Cooking Bihar	https://youtube.com/@hindicookingbihar?si=09E6qFuRgZN7eTsi	UCaj4PWCqLrouZsnuhJDWORA
Sheetal's Kitchen - Hindi	https://youtube.com/@sheetalskitchenhindi?si=2-LOKlvi-Rrg6qA2	UCq0AD62K4y1zByvaBGt_oNg
Cook and Fry Hindi	https://youtube.com/@cookandfryhindi?si=z0CG_RreJnvRzkk2	UC-SoUByxMIWRxpxo-aQXkjw
Cooking With Chef Ashok	https://youtube.com/@cookingwithchefasok?si=zIUOoYo4SI3GhokB	UCLi0vSLZdS3Xvc5Th1O49jQ
Radhika Real Vlogs	https://youtube.com/@radhikarealvlogs?si=uyMGWWrJD3ZD3WiN	UCWzJV0Z8NsRPqFXinD45SUw
USHA Village Food	https://youtube.com/@ushavillagefood?si=fPM6VDF4mS1acP7c	UCh54cGP_9kRDrw9eleY7abw
Kadian's Cooking	https://youtube.com/@kadianscooking7050?si=z-gWxqeMq-lwTh_i	UC0SEHxuuqACait9DNmawJYw
Fit Tuber Hindi	https://youtube.com/@fittuberhindi?si=vRPCqhRJVpmXVkkt	UCDWVNwQce16D16tPc5NBYlQ
The Nitesh Fitness Empire	https://youtube.com/@theniteshfitnessempire85?si=5TlrUynYBPutrUG4	UCUOdTQuFq4Z-36QSlWHg9Ig
Jeet Selal Aesthetics	https://youtube.com/@jeetselalaesthetics?si=hrIgHl2nEXyr6NQn	UCg5LjzSV0GqSjXJXERkW1FA
Kush fitness	https://youtube.com/@kushfitness5593?si=SU5S-JNRacaJ7qoU	UChy4qc0Gt26NsMfldeQ2DMQ
Hindi MotivationIQ	https://youtube.com/@hindimotivationiq?si=j2kz1A5TK23Ikrkc	UCsuJmX-eG_gBk2i9LNGbnGQ
Food se Fitness Hindi	https://youtube.com/@foodsefitness?si=uCog_O4W_C7XdF1m	UCHiX8E_gCGnwfChS8_tp5ow
Bodybuilding Workout Routine And Diet Planing	https://youtube.com/@bodybuilding1?si=tN7VD-j6jieYftJG	UCxjc8mUzILAiXGPf1lBhqdQ
Desi Gym Fitness	https://youtube.com/@desigymfitness?si=enbU6TaFcOKjwRrV	UCaebxrfVje2g0nRQ92D8DfA
Badri Fitness	https://youtube.com/@badrifitness?si=mUO1l5j_ZB5AdqnV	UCQp0_CISXo8zgQgDE6xpGPA
Health Fit Hindi	https://youtube.com/@healthfithindi?si=iEFoxfCxJjyBoZR-	UCH5-sww11RE0kHV-d5ORtjg
SPORTS AND FITNESS TIPS (By Ankit)	https://youtube.com/@sportsandfitnesstips?si=-m33T151njNPOtmL	UCdY62-FmM5cKu9Yf4PY9uGA
The Diet Channel (Hindi)	https://youtube.com/@thedietchannel_hindi?si=duAHf5DtDy6U9bZ-	UC2_esJlDY1OcL7md9zp070A
Body Fit TV (Hindi)	https://youtube.com/@bodyfittv_hindi?si=t27fmQ_Xf2d8q_kV	UCNnuEXuTbw1Kmj8BKkQj4UA
Healthy zone	https://youtube.com/@healthy_zone?si=KSCN2UCMXfsUgcr1	UC8a9CoFxHYrTjsfCvhjisCw
Yash Anand	https://youtube.com/@theyashanand?si=-CR8HmMRvjZ0xPOd	UC1PbTiHsjT-Q_9OWHBHf-ZQ
Fitness anurag	https://youtube.com/@fitnessanurag3009?si=PF1oDhBEFbxKaus0	UCUWEGllXjHmLfqANcSY2xFw
Thakur Ji Fitness	https://youtube.com/@thakurjifitness?si=8p9qbLojaqS4Tv8M	UCKJ5uH86BLfqAvspY06VdPQ
Anuragfitness	https://youtube.com/@anuragfitness4583?si=syHHfYG4d-F1LsSu	UClN5WuTuPit_4gATpSE3lCQ
Lucky Fitness	https://youtube.com/@luckyfitness478?si=ryqgK0cIj_PWLyaV	UCusjwZlROrN3Qr2cFRjDaLw
Bindass Kavya	https://youtube.com/@bindasskavya?si=9ITTq0qCaqYPBG5t	UCUgvCC6iygghq-f2r96P-Jw
Muscle & Mind	https://youtube.com/@musclemind2689?si=Z_uHrJkFTTJzvt3s	UCfc3OO5JhAML__57DRyKbbg
5 Minute Ayurveda	https://youtube.com/@5minuteayurveda?si=Nvp7DGFSLPPrQB6o	UCaSSczX-Az7L1jGHLoqIwDg
Amit health & Fitness	https://youtube.com/@amithealthfitness?si=CIFPSTWblP6Y4d6N	UCE_btxAOsEVKw9LwNZPtDxg
Yatinder Singh	https://youtube.com/@yatindersinghofficial?si=e1pai-ENHAwFRADB	UC12K7FCbzFG5BOMJrHn-sog
Raj Shamani Clips	https://youtube.com/@rajshamaniclips?si=QB4s_tO5myhZ9nkc	UCshPyRiu9XTQb2gEagNt-3A
Best Reality Show	https://youtube.com/@realityshows_2025?si=C2PW5yl_j5gHmvkS	UCoyqHxU7IV7xMglEGVizkbg
Thugesh	https://youtube.com/@thugesh?si=jk4Ekn4Bev30g-mt	UCPtPyb4VvaNqjkbL_tSVFVA
Mahesh Keshwala	https://youtube.com/@aslithugesh?si=XQ284pT1Qo5PUpc5	UC-CLk2Fjel1JBMuA0Y1o9fw
Wronged	https://youtube.com/@wrongedx?si=NNa9sO-mY2hI48Vn	UCkO3uAmES7hmFfLOBRgzY_Q
Zakir Khan	https://youtube.com/@zakirkhan?si=0500Irz005nGbrcV	UCkS7Vxu4PjM99w0Is6idjcg
Rupali Tyagi	https://youtube.com/@tyagirupali?si=uvR7pI6VnH8meanF	UCTtj21pQvgoD38_uUlJXK9A
GREAT IDEAS GREAT LIFE	https://youtube.com/@greatideasgreatlifeindia?si=lqpuJgpZPUqhl4xQ	UCurYxozQbvKn-oNUxNJh45Q
RJ Raunac	https://youtube.com/@rjraunac?si=fcQGbFqzsPBt6P0z	UCKop7_gs7xq5tbrDDYuplhA
YBP Filmy	https://youtube.com/@ybpfilmy?si=JW-iAIbdO0IQcb2G	UC_tu7TDtgl2Pt1tGac6Ntbg
Inspiration Blaze	https://youtube.com/@inspirationblaze?si=GzNB5luSeJKXuWpp	UCyAlUSb98WnHriX_n9Ae5Fg
The Duo Facts	https://youtube.com/@theduofacts?si=g9nyxKJl17HCyttY	UCYILLSiMN1nAKakJTHJIwJA
Cinemastic	https://youtube.com/@cinemastic23?si=hiw5V2ZTTimT5eUB	UCxHtNH7NDSxeAXdDOnIRTKw
Motivational Wings	https://youtube.com/@motivationalwings?si=IYabENnI3km1lIn4	UCbKULwGlKGbNniRtz4BqeMQ
The Gaurav Thakur Show Clips	https://youtube.com/@gauravzthakur?si=0ZejZP4IiKJo0vk0	UC87QeJ7WF71zJ5LF7vVVYrg
Kunal Malhotra	https://youtube.com/@kunalmalhotrakm?si=1OWIyRJOtRwaLnBb	UCeRR3gl2xCB68ZO7O_z7cmA
TechBar	https://youtube.com/@techbar?si=MjxgQ3gQJ8n5fp9z	UCdoDYkupTElV62K7ttA_E4w
GadgetsLife	https://youtube.com/@gadgetslife?si=0LaBLJ5RAPJcAv_m	UC2Erap74TIyr39C8-CsYCwQ
The Deshbhakt	https://youtube.com/@thedeshbhakt?si=Ak1oL68spZDoj2Nx	UCmTM_hPCeckqN3cPWtYZZcg
CA Rahul Malodia: Business Coach	https://youtube.com/@rahulmalodiaofficial?si=c_VoHoJ5tG726mTd	UCPgfM-dk3XAb4T3DtT6Nwsw
AKTK	https://youtube.com/@aktk?si=sw5I9zP4w5IE0fFs	UCloWBBZ3E9b9NGW3r30DN5A
अंतरिक्ष TV	https://youtube.com/@antarikshtv?si=JuyzQ6NutbRMIqIR	UCZ1OsbnPa1RX6rl9NWlRTOg
SeeKen	https://youtube.com/@seeken?si=1j4WtNvWRj_a-teB	UCfhbydY40P2Lli9HuBz8cdA
Priya Jain	https://youtube.com/@_finologylegal?si=lHj9rm6BuSaW1hBb	UCItJsxqZNWUyxFn-A2tzizQ
Open Letter	https://youtube.com/@openletteryt?si=PGB_Rs9oOF32SgAp	UCPJ_UzD4PEC-_vwN32amlIQ
NeuzBoy	https://youtube.com/@neuzboyy?si=LMA_sNB5hmwVEoeH	UC7adUjW8qMUsqO4HHTbwKgg
Arjun Tech	https://youtube.com/@arjuntechunbox?si=S8bveR58bjjNnZTo	UCpt3nYYT9tQw3M_fp25RrZw
Trakin Tech	https://youtube.com/@trakintech?si=PoIoeIeXQ0xIxHkG	UCEPL07qzVsOcHd3sMUws65g
Law Chakra	https://youtube.com/@lawchakra?si=_hXDbxwzRAa6jlXl	UCWTCQQbEvdIMbyW3g_EU43w
Aakash Chopra	https://youtube.com/@cricketaakash?si=4YliU2y5Mq2f_1ih	UCQYRGzYaVa7aWd8TsbjdJ6Q
Jatin Sapru	https://youtube.com/@jatinsapruofficial?si=zOsOOwS_JEVAqLqE	UCUrgSQ5qiwW6KRm7QflaIYA
Gyan Therapy	https://youtube.com/@gyantherapy?si=lWoH5xlrig99I5F5	UCS261lQDXjMvc8Jck-2CQEg
ONE CHANCE	https://youtube.com/@onechance?si=mt-ZXhMWaFLyIImW	UCP4S4TCjXz_KSP5N_KLvA0Q
Utsav Techie	https://youtube.com/@utsavtechie?si=Vy7PGNhlHqRs48Zb	UCbhZ9mHpd_4dMT7bSqjixQQ
Healthy Hamesha	https://youtube.com/@healthyhamesha?si=WH4f_imOODR2Z07J	UCys-KuZ7z2KHsPaW4U_lEBQ
SAAOL Heart Center	https://youtube.com/@saaolheartcare?si=P2BHUzOrbchOG-hG	UCM5cdocmS8t-0EURE8uvadA
Ayurveda for Everyone	https://youtube.com/@ayurvedaforeveryoneofficial?si=kKYxHcP_3PUI8f6v	UCjKTHeGY67SWFlTnxvfdlOg
IndiaMarvel	https://youtube.com/@marvelin?si=RrWU_O8CmqYSRSJh	UCah9jr4Ehlrt4Wv-q-CgJkg
Rohit Raj Gupta	https://youtube.com/@rohitrajgupta?si=hqvLGcvN-hakVwzt	UCf6ki1JkyKPD8NtnWpU3rHA
PJ Explained	https://youtube.com/@pjexplained?si=N-R1ZfWbtesZSvub	UCWkHlUiYLeRSIMP8yM7rxxg
Sarthak Goswami	https://youtube.com/@sundaysarthak?si=v8k9XZ5JuDALCqsK	UC5fcjujOsqD-126Chn_BAuA
Traya Health	https://youtube.com/@trayahealth?si=lhPScYX5zlSWppJi	UCoCbt0YNJL4_MtIo6Lg1ybA
Aakash Gupta	https://youtube.com/@aakashgupta?si=muD5C8bM8J_BH5LO	UCAYum5hCyfkSH5T3vSD_kwQ
Construction Zone	https://youtube.com/@constructionzone?si=KVJwkXqpNEsHt8dE	UCXCjr92Efqo2HH020QwIDYg
Aamir Khan Talkies	https://youtube.com/@aamirkhantalkies?si=KY8B3hYoh1EA_soV	UCqjQu9qgL_eDXPwRnq45ZDQ
Aayush Sapra	https://youtube.com/@aayushsapra?si=ptJwVYRsws13OMt-	UC2UWtuZR3kH-5C26HVMMB6A
Nishu Tiwari	https://youtube.com/@inishutiwari?si=yXVIrbzmLnX3IXs-	UC5aKead6Q8YQYjceizxJIuw
JokerKiHaveli	https://youtube.com/@jokerkihavelii?si=iaulG7-oJm51E_im	UCXFWPJ2dnOryABAOSoMzbxA
